 

stn;time;tre200d0
LUG;19600101;2.0
LUG;19600102;3.2
LUG;19600103;3.7
LUG;19600104;4.6
LUG;19600105;3.7
LUG;19600106;5.6
LUG;19600107;5.4
LUG;19600108;3.2
LUG;19600109;3.1
LUG;19600110;-1.6
LUG;19600111;-3.7
LUG;19600112;-0.8
LUG;19600113;-1.9
LUG;19600114;-4.3
LUG;19600115;-0.6
LUG;19600116;0.3
LUG;19600117;0.2
LUG;19600118;3.7
LUG;19600119;0.3
LUG;19600120;1.6
LUG;19600121;1.9
LUG;19600122;3.2
LUG;19600123;2.7
LUG;19600124;3.7
LUG;19600125;2.5
LUG;19600126;3.7
LUG;19600127;4.2
LUG;19600128;5.1
LUG;19600129;4.9
LUG;19600130;5.8
LUG;19600131;3.2
LUG;19600201;4.4
LUG;19600202;1.2
LUG;19600203;2.4
LUG;19600204;2.2
LUG;19600205;2.2
LUG;19600206;2.4
LUG;19600207;-1.6
LUG;19600208;-1.4
LUG;19600209;-1.0
LUG;19600210;1.9
LUG;19600211;0.5
LUG;19600212;0.7
LUG;19600213;0.0
LUG;19600214;0.6
LUG;19600215;0.8
LUG;19600216;0.9
LUG;19600217;1.2
LUG;19600218;1.6
LUG;19600219;3.3
LUG;19600220;3.8
LUG;19600221;4.6
LUG;19600222;1.9
LUG;19600223;5.2
LUG;19600224;4.9
LUG;19600225;4.0
LUG;19600226;6.3
LUG;19600227;8.6
LUG;19600228;7.5
LUG;19600229;9.4
LUG;19600301;12.0
LUG;19600302;7.1
LUG;19600303;9.4
LUG;19600304;11.9
LUG;19600305;9.4
LUG;19600306;5.7
LUG;19600307;3.3
LUG;19600308;2.9
LUG;19600309;0.7
LUG;19600310;1.8
LUG;19600311;3.6
LUG;19600312;7.4
LUG;19600313;7.8
LUG;19600314;5.9
LUG;19600315;5.7
LUG;19600316;8.6
LUG;19600317;13.1
LUG;19600318;12.4
LUG;19600319;9.1
LUG;19600320;6.5
LUG;19600321;8.4
LUG;19600322;8.2
LUG;19600323;7.7
LUG;19600324;7.8
LUG;19600325;8.2
LUG;19600326;8.5
LUG;19600327;9.0
LUG;19600328;10.4
LUG;19600329;10.4
LUG;19600330;10.3
LUG;19600331;7.9
LUG;19600401;9.7
LUG;19600402;11.2
LUG;19600403;11.9
