Stationsnummer: 2068
Stationsname: Riazzino
DBLH-Nr: 00211
Gew�sser: Ticino
Exportperiode: 1980-01-01-2018-12-31 2019-01-01-2020-06-17
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gew�sser;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-01-01 00:00:00;;30.800;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-01-02 00:00:00;;41.600;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-01-03 00:00:00;;43.500;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-01-04 00:00:00;;42.200;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-01-05 00:00:00;;32.500;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-01-06 00:00:00;;27.000;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-01-07 00:00:00;;39.000;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-01-08 00:00:00;;40.400;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-01-09 00:00:00;;38.100;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-01-10 00:00:00;;39.300;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-01-11 00:00:00;;41.000;Freigegeben, validierte Daten
Riazzino;2068;Abfluss;Tagesmittel;m3/s;Ticino;1980-01-12 00:00:00;;27.700;Freigegeben, validierte Daten
